=== bce_dice-transpose-half_shallow-s42-55dfa7 === 28,088,513 tham số, thiết bị cuda
epoch  36/120 | train 0.2756 | val 0.3264 | val dice 0.6738 | val iou 0.5592
epoch  37/120 | train 0.2691 | val 0.2955 | val dice 0.7199 | val iou 0.6084
epoch  38/120 | train 0.2672 | val 0.2511 | val dice 0.7684 | val iou 0.6572 *
epoch  39/120 | train 0.2553 | val 0.2559 | val dice 0.7601 | val iou 0.6477
epoch  40/120 | train 0.2475 | val 0.2515 | val dice 0.7501 | val iou 0.6480
epoch  41/120 | train 0.2372 | val 0.2899 | val dice 0.7211 | val iou 0.6196
epoch  42/120 | train 0.2403 | val 0.2217 | val dice 0.7928 | val iou 0.6875 *
epoch  43/120 | train 0.2365 | val 0.2141 | val dice 0.8034 | val iou 0.7036 *
epoch  44/120 | train 0.2190 | val 0.2187 | val dice 0.8019 | val iou 0.7032
epoch  45/120 | train 0.2171 | val 0.2184 | val dice 0.7926 | val iou 0.6921
epoch  46/120 | train 0.2170 | val 0.2187 | val dice 0.8043 | val iou 0.7131 *
epoch  47/120 | train 0.2139 | val 0.2166 | val dice 0.8032 | val iou 0.7119
epoch  48/120 | train 0.2001 | val 0.2118 | val dice 0.8064 | val iou 0.7174 *
epoch  49/120 | train 0.2038 | val 0.2335 | val dice 0.7889 | val iou 0.6958
epoch  50/120 | train 0.2006 | val 0.2220 | val dice 0.8001 | val iou 0.7071
epoch  51/120 | train 0.1982 | val 0.2064 | val dice 0.8187 | val iou 0.7277 *
epoch  52/120 | train 0.2030 | val 0.1928 | val dice 0.8267 | val iou 0.7337 *
epoch  53/120 | train 0.1943 | val 0.2126 | val dice 0.8029 | val iou 0.7132
epoch  54/120 | train 0.1823 | val 0.2092 | val dice 0.8122 | val iou 0.7138
epoch  55/120 | train 0.1818 | val 0.2088 | val dice 0.8083 | val iou 0.7182
epoch  56/120 | train 0.1879 | val 0.1919 | val dice 0.8235 | val iou 0.7306
epoch  57/120 | train 0.1800 | val 0.1985 | val dice 0.8203 | val iou 0.7330
epoch  58/120 | train 0.1737 | val 0.2114 | val dice 0.8069 | val iou 0.7163
epoch  59/120 | train 0.1728 | val 0.2031 | val dice 0.8162 | val iou 0.7260
epoch  60/120 | train 0.1721 | val 0.1983 | val dice 0.8100 | val iou 0.7118
epoch  61/120 | train 0.1681 | val 0.1859 | val dice 0.8263 | val iou 0.7368
epoch  62/120 | train 0.1707 | val 0.1870 | val dice 0.8375 | val iou 0.7482 *
epoch  63/120 | train 0.1678 | val 0.1872 | val dice 0.8275 | val iou 0.7400
epoch  64/120 | train 0.1680 | val 0.1746 | val dice 0.8439 | val iou 0.7590 *
epoch  65/120 | train 0.1599 | val 0.1858 | val dice 0.8309 | val iou 0.7444
epoch  66/120 | train 0.1546 | val 0.1645 | val dice 0.8525 | val iou 0.7735 *
epoch  67/120 | train 0.1522 | val 0.1976 | val dice 0.8207 | val iou 0.7421
epoch  68/120 | train 0.1511 | val 0.1806 | val dice 0.8360 | val iou 0.7552
epoch  69/120 | train 0.1438 | val 0.1732 | val dice 0.8446 | val iou 0.7652
epoch  70/120 | train 0.1483 | val 0.1713 | val dice 0.8476 | val iou 0.7668
epoch  71/120 | train 0.1422 | val 0.1724 | val dice 0.8448 | val iou 0.7643
epoch  72/120 | train 0.1427 | val 0.1861 | val dice 0.8331 | val iou 0.7524
epoch  73/120 | train 0.1375 | val 0.1777 | val dice 0.8429 | val iou 0.7615
epoch  74/120 | train 0.1341 | val 0.1726 | val dice 0.8460 | val iou 0.7643
epoch  75/120 | train 0.1328 | val 0.1834 | val dice 0.8436 | val iou 0.7654
epoch  76/120 | train 0.1289 | val 0.1669 | val dice 0.8493 | val iou 0.7688
epoch  77/120 | train 0.1271 | val 0.1734 | val dice 0.8499 | val iou 0.7718
epoch  78/120 | train 0.1241 | val 0.1725 | val dice 0.8446 | val iou 0.7646
epoch  79/120 | train 0.1274 | val 0.1818 | val dice 0.8316 | val iou 0.7492
epoch  80/120 | train 0.1233 | val 0.1688 | val dice 0.8470 | val iou 0.7694
epoch  81/120 | train 0.1245 | val 0.1718 | val dice 0.8467 | val iou 0.7661
